CORPORATE_IDENTIFICATION_NUMBER,Company_Name,Company_status,Company_class,Company_Category,Company_sub_category,DATE_OF_REGISTRATION,REGISTERED_STATE,AUTHORIZED_CAP,PAIDUP_CAPITAL,Industrial_Class,PRINCIPAL_BUSINESS_ACTIVITY_AS_PER_CIN,Registered_Office_Address,REGISTRAR_OF_COMPANIES,EMAIL_ADDR,Latest_Year_AR,Latest_Year_BS,,,
U20221MN2005PTC007986,R.T. FURNITECH PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,07-12-05,Manipur,1000000,100000,20221,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","SANGAPHAM,CHIENGMEIRONG, IMPHAL WEST, MANIPUR. , Unclassified MN 000000",RoC-Shillong,NA,NA,NA,,,
U20296MN2015PTC008406,MANGANG FIBERS INDUSTRIES PRIVATELIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,13-01-15,Manipur,1000000,1000000,20296,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","MINUTHONG, HOUSE NO. 22 KOBO LEIKAI, IMPHAL EAST DISTRICT IMPHAL , East Imphal Unclassified MN 795001",RoC-Shillong,mangangfibers@gmail.com,NA,NA,,,
U21011MN1988SGC003112,MANIPUR PULP AND ALLIED PRODUCTS LTD,Active,Private,Company limited by Shares,State Govt company,27-10-88,Manipur,9000000,7331000,21011,Manufacture of paper and paper products,"KADAMTALA, JIRIBAM JIRIBAM , Unclassified MN 000000",RoC-Shillong,NA,NA,NA,,,
U21094MN2018PTC013660,INGELEI PAPER & PRINT PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,20-04-18,Manipur,1000000,500000,21094,Manufacture of paper and paper products,"C/o Elangbam Rajen Singh, Sagolband Sayang Road, Konthoujam Leikai SAGOLBAND PART-I, , West Imphal Unclassified MN 795001",RoC-Shillong,pcsvaibhavgarg@gmail.com,31-03-20,31-03-20,,,
U21095MN2019PTC013940,KANGLEI KHONI PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,10-09-19,Manipur,1000000,100000,21095,Manufacture of paper and paper products,"48 KEISHAMPAT THOKCHOM LEIKAI TIDDIM ROAD, NEAR MPCC CLUB IMPHAL , West Imphal Unclassified MN 795003",RoC-Shillong,ADITYA.ADVAN@GMAIL.COM,31-03-20,31-03-20,,,
U21099MN2018PTC013776,KHUMAN ECO PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,04-12-18,Manipur,1000000,200000,21099,Manufacture of paper and paper products,"LILONG CHAJING MAIRENKHONG LILONG NAGAR PANCHAYAT IMPHAL WEST , West Imphal Unclassified MN 795130",RoC-Shillong,pcsvaibhavgarg@gmail.com,NA,NA,,,
U21099MN2019PTC013905,YAIFA-KOL INDUSTRIES PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,16-07-19,Manipur,1000000,1000000,21099,Manufacture of paper and paper products,"C/O MR. S LALMANI 207553 C-4-44 NAGAMAPAL IMPHAL , West Imphal Unclassified MN 795001",RoC-Shillong,sureshsoram@gmail.com,31-03-20,31-03-20,,,
U22100MN2013PTC008334,NONGPOK PUBLISHERS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,22-04-13,Manipur,20000000,3102000,22100,"Manufacture:Publishing, printing and reproduction of recorded media","KHONGMAN ZONE III (WEST) IMPHAL , East Imphal Unclassified MN 795001",RoC-Shillong,nongpokpub@gmail.com,31-03-20,31-03-20,,,
U22110MN2007PTC008234,S.N.S. PUBLICATIONS PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,14-03-07,Manipur,5000000,200000,22110,"Manufacture:Publishing, printing and reproduction of recorded media","c/o Student Store Paona Bazar Imphal , Unclassified MN 795001",RoC-Shillong,nishikantsapam@gmail.com,31-03-15,31-03-15,,,
U22190MN2016PTC013470,EHUL MEDIA PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,03-05-16,Manipur,100000,100000,22190,"Manufacture:Publishing, printing and reproduction of recorded media","KHWAI BRAHMAPUR NAGAMAPAL IMPHAL WEST , West Imphal Unclassified MN 795001",RoC-Shillong,PAPAHAJARIMAYUM@GMAIL.COM,NA,NA,,,
U22219MN2019PTC013883,CHUNG & CHUNGS ENTERTAINMENT PRIVATELIMITED,Active,Private,Company limited by Shares,Non-govt company,21-06-19,Manipur,1000000,1000000,22219,"Manufacture:Publishing, printing and reproduction of recorded media","H.No.5, NAMGUILONG, NEAR BETHANY BAPTIST CHURCH NEW LAMBULANE 1ST STREET IMPHAL , West Imphal Unclassified MN 795001",RoC-Shillong,lanchungpu.golmei@gmail.com,NA,NA,,,
U22219MN2020PTC014162,HIKUBI PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,08-10-20,Manipur,1000000,100000,22219,"Manufacture:Publishing, printing and reproduction of recorded media","C/O MR M POIREI IED-II E-3-64 NAOREMTHONG KHULEM LEIKAI IMPHAL , West Imphal Unclassified MN 795001",RoC-Shillong,KUNJACMSPL@GMAIL.COM,NA,NA,,,
U22219MN2020PTC014170,CHINGLEIPAK VENTURES PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,20-10-20,Manipur,1500000,10000,22219,"Manufacture:Publishing, printing and reproduction of recorded media","C/o Rajkumar Chinglen, Yaiskul Janmasthan, Lamphel IMPHAL , West Imphal Unclassified MN 795001",RoC-Shillong,cs.rakesh2@gmail.com,NA,NA,,,
U22300MN2018PTC013727,IFP LEICHIN PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,30-08-18,Manipur,5000000,100000,22300,"Manufacture:Publishing, printing and reproduction of recorded media","PALACE GATE NEW CHECKON IMPHAL , East Imphal Unclassified MN 795001",RoC-Shillong,imphalfreepressweb@gmail.com,31-03-19,31-03-19,,,
U22300MN2019PTC013865,MAION GREENTECH PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,09-05-19,Manipur,20100000,2100000,22300,"Manufacture:Publishing, printing and reproduction of recorded media","SAGOLBAND NEPRA MENJOR LEIKAI IMPHAL (MCI) (MEJOR PART) IMPHAL , West Imphal Unclassified MN 795001",RoC-Shillong,ougricpl@gmail.com,31-03-20,31-03-20,,,
U23200MN2021PTC014228,SPRINGHOLY SERVANT PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,06-01-21,Manipur,1500000,100000,23200,"Manufacture of coke, refined petroleum products and nuclear fuel","C/O JAGISH MEITEI KHONGJOM MANING LEIKAI, PO-WANGJING THOUBAL , Thoubal Unclassified MN 795148",RoC-Shillong,admin@vakilgiri.com,NA,NA,,,
U24100MN2019OPC013851,KH AND H DETERGENTS (OPC) PRIVATELIMITED,Active,Private(One Person Company),Company limited by Shares,Non-govt company,11-04-19,Manipur,50000,50000,24100,Manufacture of chemicals and chemical products,"N/ AN/ A Lamphel Sanakeithel Pukhri Achouba, Makha Imphal West,NE N2 IMPHAL , West Imphal Unclassified MN 795004",RoC-Shillong,kh.h.detergents@gmail.com,31-03-20,31-03-20,,,
U24110MN2021PTC014274,LEICHAN BIOTECH PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,16-03-21,Manipur,100000,60000,24110,Manufacture of chemicals and chemical products,"C/O Sougrakpam Ajit Meitei, Kakwa Leiphrakpam Leika, P.O. P.S. Singjamei Imphal , East Imphal Unclassified MN 795003",RoC-Shillong,easternbiochemicals@gmail.com,NA,NA,,,
U24111MN2011PTC008272,ESTHER GASES PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,24-01-11,Manipur,85100000,18064000,24111,Manufacture of chemicals and chemical products,"GROUND FLOOR, OPP CENTRAL BANK OF INDIA, THANGAL BAZAAR IMPHAL WEST , West Imphal Unclassified MN 795001",RoC-Shillong,esthergases@outlook.com,31-03-20,31-03-20,,,
U24219MN1985PTC002440,SH CONSULTANT PVT LTD,Strike Off,Private,Company limited by Shares,Non-govt company,04-10-85,Manipur,100000,1000,24219,Manufacture of chemicals and chemical products,"URPOK ROAD IMPHALDT CENTRAL MANIPUR , Unclassified MN 000000",RoC-Shillong,NA,NA,NA,,,
U24230MN2012PTC008315,ST. STONE MEDICAL DEVICES PRIVATELIMITED,Active,Private,Company limited by Shares,Non-govt company,07-12-12,Manipur,10000000,100000,24230,Manufacture of chemicals and chemical products,"A-8, KURAOPOKPI INDUSTRIAL ESTATE KAKCHING , Thoubal Unclassified MN 795135",RoC-Shillong,info@stsmedicals.com,31-03-19,31-03-19,,,
U24232MN1989PLC003315,MANIPUR STATE DRUGS AND PHARMACEUTICALSLIMITED,Active,Public,Company limited by Shares,Non-govt company,18-07-89,Manipur,20000000,8500000,24232,Manufacture of chemicals and chemical products,"IMPHAL, DIMAPUR ROAD, NILKUNTHI, IMPHAL , Unclassified MN 000000",RoC-Shillong,NA,NA,NA,,,
U24232MN2015PTC008439,LOUSHWANG MEDITECH PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,04-08-15,Manipur,100000,100000,24232,Manufacture of chemicals and chemical products,"KONGPAL CHANAM LEIKAI DISTRICT IMPHAL EAST IMPHAL , East Imphal Unclassified MN 795005",RoC-Shillong,Wangsingh@gmail.com,31-03-19,31-03-20,,,
U24246MN2020PTC014048,LAMJINGBA COSMETIC INDUSTRIES PRIVATELIMITED,Active,Private,Company limited by Shares,Non-govt company,11-02-20,Manipur,1500000,1000000,24246,Manufacture of chemicals and chemical products,"C/O K BUNGBUNG SINGH IED-II, C-4-68/1, NAGAMAPAL RIMS ROAD NEAR NITYAINANDA MANDIR , West Imphal Unclassified MN 795001",RoC-Shillong,ougricpl@gmail.com,NA,NA,,,
U24290MN2019PTC013992,HEMKHOLAL KHONGSAI & SON PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,13-12-19,Manipur,100000,100000,24290,Manufacture of chemicals and chemical products,"C/O NGAMKHOLIEN KHONGSAI, BIJANG GANGTE VENG, CHURACHANDPUR , Churachandpur Unclassified MN 795128",RoC-Shillong,hemkholalandsonpvtlimited@gmail.com,31-03-20,31-03-20,,,
U24299MN2019PTC013971,SAYON INDUSTRIES PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,07-11-19,Manipur,1500000,500000,24299,Manufacture of chemicals and chemical products,"C/O MR. M ROBINDRO IED-III 14-E(VOM)-96 (NEW), KAKWA ASEM LEIKAI IMPHAL- SJM , West Imphal Unclassified MN 795008",RoC-Shillong,OUGRICPL@GMAIL.COM,NA,NA,,,
U24304MN2018PTC013710,HIYAI CHEM (INDIA) PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,16-07-18,Manipur,1000000,100000,24304,Manufacture of chemicals and chemical products,"287, HIYAI BUILDING, YUREMBAM AWANG LEIKAI P.O. LANGJING, P.S. PATSOI IMPHAL , West Imphal Unclassified MN 795113",RoC-Shillong,leimaton34@gmail.com,31-03-20,31-03-20,,,
U24304MN2020PTC014014,LRS HOSPITALITY & HEALTHCARE PRIVATELIMITED,Active,Private,Company limited by Shares,Non-govt company,06-01-20,Manipur,5000000,2000000,24304,Manufacture of chemicals and chemical products,"IED-II, 25-A-8/7 (NC), CHANGANGEI, OPP. AIRPORT, WEST IMPHAL , West Imphal Unclassified MN 795001",RoC-Shillong,rolsphy@gmail.com,NA,NA,,,
U24304MN2020PTC014096,LAININGTHOU CEMENT FACTORY PRIVATELIMITED,Active,Private,Company limited by Shares,Non-govt company,01-07-20,Manipur,1500000,3000,24304,Manufacture of chemicals and chemical products,"C/O.N. IBOMCHA MEITEI, IED-I, 201587, 7-A-24/6-I, SAGOLBAND MABUDHOU MANTRI LEIK IMPHAL , West Imphal Unclassified MN 795001",RoC-Shillong,RAKESHSINGH12266@GMAIL.COM,NA,NA,,,
U25114MN2000PTC006047,J.S.TYRE SERVICE PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,25-02-00,Manipur,2000000,12000,25114,Manufacture of rubber and plastics products,"KHAMNAMI BAZAR TAKYEL IMPHAL , Unclassified MN 000000",RoC-Shillong,NA,NA,NA,,,
U25206MN2013PTC008345,RNH BUSINESS PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,15-07-13,Manipur,2500000,500000,25206,Manufacture of rubber and plastics products,"UTOPIA MANSION, 5TH AVENUE DEWLAHLAND, NEAR TINY TOTS SCHOOL IMPHAL , East Imphal Unclassified MN 795001",RoC-Shillong,krsingh30@gmail.com,31-03-16,31-03-16,,,
U25209MN1991PTC003580,S B YARN INDIA PRIVATE LIMITED,Not Available for eFiling,Private,Company limited by Shares,Non-govt company,25-03-91,Manipur,5000000,3845000,25209,Manufacture of rubber and plastics products,"THANGAL BAZARIMPHAL MANIPUR , Unclassified MN 795001",RoC-Shillong,NA,NA,NA,,,
U25209MN2019PTC013796,HINTANNIA PLASTICS ( NORTH EAST INDIA )PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,14-01-19,Manipur,1000000,500000,25209,Manufacture of rubber and plastics products,"Palace Compound, Near Advance Hospital (Patta 365, 469) IMPHAL , West Imphal Unclassified MN 795001",RoC-Shillong,rmeishnam@gmail.com,NA,NA,,,
U25517MN2016PTC013492,LYS INDUSTRIES PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,23-09-16,Manipur,4000000,100000,25517,Manufacture of rubber and plastics products,"C/ LAISHRAM YAIMA SINGH KWAKEITHEL MAKHA, THOKCHOM LEIKAI IMPHAL , West Imphal Unclassified MN 795001",RoC-Shillong,leninmanipur@gmail.com,31-03-19,31-03-19,,,
U26100MN2015PTC008433,SALAKATI FLY ASH BRICK MANUFACTURINGPRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,26-06-15,Manipur,2000000,1606000,26100,Manufacture of other non-metallic mineral products,"KEISHAMPAT JAILOR LEIRAK IMPHAL , West Imphal Unclassified MN 795001",RoC-Shillong,kangleiaquaculture@gmail.com,31-03-20,31-03-20,,,
U26921MN1998PTC005390,CANCHI CONCRETE AND TILE WORKS PVT LTD,Active,Private,Company limited by Shares,Non-govt company,13-04-98,Manipur,2500000,250000,26921,Manufacture of other non-metallic mineral products,"LANGTHABAL NAMBUL MAPALCANCHIPUR IMPHAL MANIPUR , Unclassified MN 795003",RoC-Shillong,NA,NA,NA,,,
U26921MN1998PTC005488,GUNE BROTHERS CONSTRUCTION MATERIALS PVT LTD,Strike Off,Private,Company limited by Shares,Non-govt company,03-08-98,Manipur,500000,600,26921,Manufacture of other non-metallic mineral products,"KHUNYAI LEIKKAIYUMNAM HUIDROM IMPHAL WEST MANIPUR , Unclassified MN 000000",RoC-Shillong,NA,NA,NA,,,
U26931MN1988PTC003091,MANIPUR BRICKS MANUFACTURERS PVT LTD,Active,Private,Company limited by Shares,Non-govt company,06-10-88,Manipur,1000000,8000,26931,Manufacture of other non-metallic mineral products,"KHOYATHONG ROADTHANGAL BAZAR IMPHAL MANIPUR , Unclassified MN 000000",RoC-Shillong,NA,NA,NA,,,
U26931MN2014PTC008391,ZIMIKHOR PROJECTS PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,22-10-14,Manipur,1000000,100000,26931,Manufacture of other non-metallic mineral products,"HOUSE NO. 06, NGARUMPHUNG VILLAGE PO & PS- LITAN SENAPATI , Senapati Unclassified MN 795118",RoC-Shillong,zimikhor@gmail.com,31-03-16,31-03-16,,,
U26942MN1988SGC002981,MANIPUR CEMENTS LIMITED,Strike Off,Private,Company limited by Shares,State Govt company,10-05-88,Manipur,35000000,35000000,26942,Manufacture of other non-metallic mineral products,"C O DIRECTORATE OF INDUSTRIES IMPHAL , Unclassified MN 000000",RoC-Shillong,manipurcements@gmail.com,NA,NA,,,
U26942MN2000PLC006156,KANGLEIPAK PRODUCTS LIMITED,Strike Off,Public,Company limited by Shares,Non-govt company,10-05-00,Manipur,1000000,500000,26942,Manufacture of other non-metallic mineral products,"LANGTHABAL KUNJACANCHIPUR NEAR MANIPUR UNIVERSITY IMPHAL , Unclassified MN 795001",RoC-Shillong,NA,NA,NA,,,
U26944MN1993PTC003987,MAICO LIME FACTORY PVT LTD,Strike Off,Private,Company limited by Shares,Non-govt company,13-09-93,Manipur,1000000,270000,26944,Manufacture of other non-metallic mineral products,"60, LAMPHEL SUPER MARKET IMPHAL , Unclassified MN 795004",RoC-Shillong,NA,NA,NA,,,
U26960MN1993PTC003980,SARANGA AGRO FARMS PVT LTD,Strike Off,Private,Company limited by Shares,Non-govt company,27-08-93,Manipur,20000,20,26960,Manufacture of other non-metallic mineral products,"MANTRI PUKHURI MANTRI PUKHURI IMPHAL , Unclassified MN 795002",RoC-Shillong,NA,NA,NA,,,
U26999MN1994PLC004122,MANIPUR MINERAL CORPORATION LTD,Strike Off,Public,Company limited by Shares,Non-govt company,26-04-94,Manipur,10000000,1621500,26999,Manufacture of other non-metallic mineral products,"TULIHAL AIRPORT ROAD IMPHAL , Unclassified MN 000000",RoC-Shillong,NA,NA,NA,,,
U27106MN1989PTC003292,NORTH EAST INDIA SELF EMPLOYMENT CONSULTANT COMPANY PVT LTD,Strike Off,Private,Company limited by Shares,Non-govt company,02-06-89,Manipur,1000000,9000,27106,Manufacture of basic metals,"MANIPUR , Unclassified MN",RoC-Shillong,NA,NA,NA,,,
U27107MN1988PTC003129,MANIPUR BHARI ISPAT NIGAM PVT LTD,Converted to LLP and dissolved,Private,Company limited by Shares,Non-govt company,29-11-88,Manipur,2500000,2100000,27107,Manufacture of basic metals,"MANTRI PUKHARIIMPHAL MANIPUR , Unclassified MN 795002",RoC-Shillong,eastindiakol@gmail.com,31-03-14,31-03-14,,,
U27109MN1987PTC002809,UNICORN TRADING CO PVT LTD,Strike Off,Private,Company limited by Shares,Non-govt company,26-11-87,Manipur,100000,1000,27109,Manufacture of basic metals,"KHOYATHANG THANGAL BAZAR IMPHAL , Unclassified MN 000000",RoC-Shillong,NA,NA,NA,,,
U27203MN1984PTC002243,MANIPUR CONDUCTORS AND CABLES PVT LTD,Strike Off,Private,Company limited by Shares,Non-govt company,20-10-84,Manipur,1250000,344500,27203,Manufacture of basic metals,"THANGMEIBAND IMPHAL , Unclassified MN 795004",RoC-Shillong,NA,NA,NA,,,
U28120MN2010PTC008261,MANIPUR OXYGEN PLANT PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,07-06-10,Manipur,12000000,5213300,28120,"Manufacture of fabricated metal products, except machinery and equipment","OPP. UNITED BANK OF INDIA HOTEL WHITE PALACE BUILDING, M. G. AVENUE, IMPHAL , Unclassified MN 795001",RoC-Shillong,ksanabam@gmail.com,31-03-20,31-03-20,,,
U28990MN2018PTC013677,LAMJINGBA JEWELLERY PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,29-05-18,Manipur,5000000,1000000,28990,"Manufacture of fabricated metal products, except machinery and equipment","C/O. KONGKHAM BUNGBUNG SINGH IED-II, C-4-68/1, NAGAMAPAL RIMS ROAD NEAR NITYAINANDA MANDIR , West Imphal Unclassified MN 795001",RoC-Shillong,lamjingbafoundation@gmail.com,31-03-19,31-03-19,,,
U28990MN2019PTC013815,LEISHANG TOOLS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,09-02-19,Manipur,100000,100000,28990,"Manufacture of fabricated metal products, except machinery and equipment","C/o Leishangthem Priyokumar Khurai Ningthoubung, Lai Leirak IMPHAL , East Imphal Unclassified MN 795005",RoC-Shillong,Robenleishang@gmail.com,NA,NA,,,
U28999MN2020PTC014127,SANOUJAM PRODUCTION AND SUPPLIERSPRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,20-08-20,Manipur,1500000,50000,28999,"Manufacture of fabricated metal products, except machinery and equipment","Patto No 609/2232(new) Heingang Makha Leikai Imphal , East Imphal Unclassified MN 795002",RoC-Shillong,slibensingh@gmail.com,NA,NA,,,
U29299MN2019OPC013998,IMPHAL MACHINES (OPC) PRIVATE LIMITED,Active,Private(One Person Company),Company limited by Shares,Non-govt company,20-12-19,Manipur,1000000,100000,29299,Manufacture of machinery and equipment n.e.c.,"8244, 20-B-31/3 KHAGEMPALLI, HUIDROM LEIKAI IMPHAL , West Imphal Unclassified MN 795001",RoC-Shillong,daya.sym@gmail.com,NA,NA,,,
U29309MN1987SGC002683,MANIPUR ELECTRONICS DEVELOPMENTCORPORATION LIMITED,Active,Private,Company limited by Shares,State Govt company,28-04-87,Manipur,30000000,3988000,29309,Manufacture of machinery and equipment n.e.c.,"B-14, TAKYAL INDUSTRIAL ESTATE TAKYEL PAT IMPHAL , Unclassified MN 795001",RoC-Shillong,NA,NA,NA,,,
U29309MN2018PTC013651,SALAI DEFENCE TECHNOLOGY PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,05-04-18,Manipur,1000000,1000000,29309,Manufacture of machinery and equipment n.e.c.,"C/O NARENGBAM SAMARJIT SINGH SAGOLBAND TERA LOUKRAKPAM LEIKAI IMPHAL , Unclassified MN 795001",RoC-Shillong,samar.golden@gmail.com,NA,NA,,,
U31909MN1990PLC003391,USHA MANITRON TELECOMMUNICATIONS LTD,Strike Off,Public,Company limited by Shares,Non-govt company,09-01-90,Manipur,10000000,210,31909,Manufacture of electrical machinery and apparatus n.e.c.,"INDUSTRIAL ESTATETAKYELPAT IMPHAL MANIPUR , Unclassified MN 000000",RoC-Shillong,NA,NA,NA,,,
U31909MN2013PTC008321,QUARK GEN ELECTRONICS PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,16-01-13,Manipur,100000,100000,31909,Manufacture of electrical machinery and apparatus n.e.c.,"HOUSE NO 14, ZOMI VILLA NORTH A.O.C. POST OFFICE IMPHAL EAST IMPHAL , East Imphal Unclassified MN 795001",RoC-Shillong,ca.aayaz@gmail.com,31-03-14,31-03-14,,,
U31909MN2018PTC013701,LAVIN SOLAR PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,27-06-18,Manipur,1000000,100000,31909,Manufacture of electrical machinery and apparatus n.e.c.,"IED-III, 11-EA-11/5,WANGKHEI PUKHRAMBAM LEIKAI, IMPHAL , West Imphal Unclassified MN 795001",RoC-Shillong,caprashantrajesh@gmail.com,NA,NA,,,
U33208MN2018PTC013626,IMPHAL-RAVISPECIALITIESPHARMA PRIVATELIMITED,Active,Private,Company limited by Shares,Non-govt company,01-02-18,Manipur,1000000,100000,33208,"Manufacture of medical, precision and optical instruments, watches and clocks","KHUYATHONG ROAD, THANGAL BAZAR NEAR POST OFFICE, IMPHAL , West Imphal Unclassified MN 795001",RoC-Shillong,kishore.ravigroupofcompanies@gmail.com,NA,NA,,,
U33209MN1989PLC003209,RDA INDIA FINANCE AND INVESTMENT LTD,Strike Off,Public,Company limited by Shares,Non-govt company,02-03-89,Manipur,500000,70,33209,"Manufacture of medical, precision and optical instruments, watches and clocks","AWANG WABAGAIMANTRIPUKHRI IMPHAL MANIPUR , Unclassified MN 795001",RoC-Shillong,NA,NA,NA,,,
U33209MN2000PTC006375,MINDWARE LAB PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,15-12-00,Manipur,400000,100000,33209,"Manufacture of medical, precision and optical instruments, watches and clocks","WANGKHEI KHUNOUKONJENG POILA LEIKAI IMPHAL , Unclassified MN 795001",RoC-Shillong,NA,NA,NA,,,
U34300MN2019PTC013889,KANGLEI TECHNOLOGY PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,25-06-19,Manipur,150000,15000,34300,"Manufacture of motor vehicles, trailers and semi-trailers","C/O MRS. TH. PRIYANKA DEVI IED-IV 61-4-NB, LAMLONG KEITHEL, IMPHAL- LMLG-2 IMPHAL , East Imphal Unclassified MN 795010",RoC-Shillong,ougricpl@gmail.com,NA,NA,,,
U35921MN1985SGC002374,MANIPUR CYCLES CORPN LTD,Strike Off,Private,Company limited by Shares,State Govt company,28-06-85,Manipur,10000000,4015000,35921,Manufacture of other transport equipment,"NILO SINGH BUILDING, URIPOK KANCHUP ROAD, IMPHAL , Unclassified MN 795001",RoC-Shillong,manipurcycles@gmail.com,NA,NA,,,
U36100MN2015PTC008427,KHUDING FURNISHERS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,20-05-15,Manipur,1000000,100000,36100,Manufacture of furniture; manufacturing n.e.c.,"82/586, NEW PATTA NO - 816 DAG NO 3035, 42 KEISHAMPAT VILLAGE MANIPUR , West Imphal Unclassified MN 795001",RoC-Shillong,KHUDING999@GMAIL.COM,31-03-19,31-03-19,,,
U36101MN1976SGC001677,MANIPUR HANDLOOM & HANDICRAFTSDEVELOPMENT CORPN LTD,Active,Public,Company limited by Shares,State Govt company,16-10-76,Manipur,4000000,4000000,36101,Manufacture of furniture; manufacturing n.e.c.,"KEISHAMPAT IMPHAL , Unclassified MN 000000",RoC-Shillong,NA,NA,NA,,,
U36994MN2018PTC013786,TOMTHIN SOLUTION PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,27-12-18,Manipur,1000000,450000,36994,Manufacture of furniture; manufacturing n.e.c.,"C/O HEIKHAM PRIYOKUMAR SINGH KEISHAMPAT JAILER LEIRAK IMPHAL West Imphal MN 795001 IN IMPHAL West , West Imphal Unclassified MN 795001",RoC-Shillong,gopeshor.singh@gmail.com,31-03-20,31-03-20,,,
U36996MN2019PTC013868,WANGBREL DECOR PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,10-05-19,Manipur,1000000,100000,36996,Manufacture of furniture; manufacturing n.e.c.,"C/O. MR. GUTUM, IED-III 4-D-(COM) 155(NEW), CHINGAMATHAK IMPHAL , West Imphal Unclassified MN 795008",RoC-Shillong,CSPUINACHANDRA@GMAIL.COM,NA,NA,,,
U36999MN2018PTC013709,SYENERGY SUSTAINABLE SOLUTIONS PRIVATELIMITED,Active,Private,Company limited by Shares,Non-govt company,16-07-18,Manipur,1000000,100000,36999,Manufacture of furniture; manufacturing n.e.c.,"C/o L. Hemchandra Singh, House No. 7, Nagamapal Lamabam Leikei, IMPHAL , West Imphal Unclassified MN 795001",RoC-Shillong,bidhan.loitongbam@gmail.com,31-03-20,31-03-20,,,
U36999MN2019PTC013917,BRAJKON TIMBERS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,02-08-19,Manipur,100000,100000,36999,Manufacture of furniture; manufacturing n.e.c.,"C/O W.Brajabidhu Singh Airport Mamang Konjeng Leikai IMPHAL , West Imphal Unclassified MN 795001",RoC-Shillong,Oriwood.imphal@gmail.com,NA,NA,,,
U36999MN2019PTC013965,TEAKORE PRODUCTS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,23-10-19,Manipur,100000,100000,36999,Manufacture of furniture; manufacturing n.e.c.,"C/O LAISHRAM LADU SINGH LALAMBUNG TAKHELLAMBAM LEIKAI IMPHAL , West Imphal Unclassified MN 795001",RoC-Shillong,luxmibai.soubam@gmail.com,NA,NA,,,
U36999MN2020PTC014042,KONTHOUBA PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,03-02-20,Manipur,100000,10000,36999,Manufacture of furniture; manufacturing n.e.c.,"Plot No.58, Yairipok Angtha Maning Leikai, Imphal East THOUBAL , Thoubal Unclassified MN 795149",RoC-Shillong,konthouba.pvt.ltd@gmail.com,NA,NA,,,
U36999MN2020PTC014215,MINTHEMS CREATIVE INDUSTRIES ANDMANUFACTURING PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,15-12-20,Manipur,100000,100000,36999,Manufacture of furniture; manufacturing n.e.c.,"C/O P CHINNEITHEM LHUNGDIM Churachandpur Molnom Churachandpur MANIPUR , Churachandpur Unclassified MN 795128",RoC-Shillong,minthanglhungdim3@gmail.com,NA,NA,,,
